run,prompt_tokens,repetitions,decode_steps_per_rep,prefill_seconds,prefill_tps,decode_ms,decode_tps,prefill_min_s,prefill_max_s,decode_min_ms,decode_max_ms,prefill_samples_seconds,decode_run_means_ms
cpu-baseline,128,3,32,0.374118709,342.13739361535113,11.75216021875,85.09073918210787,0.37316491700000004,0.37525841600000004,11.7052343125,12.014505218750001,"[0.37316491700000004, 0.374118709, 0.37525841600000004]","[12.014505218750001, 11.75216021875, 11.7052343125]"
cpu-baseline,512,3,32,1.494737792,342.5349935890294,11.960876375,83.60591386849778,1.489547584,1.498603125,11.9099466875,12.11900784375,"[1.489547584, 1.494737792, 1.498603125]","[12.11900784375, 11.9099466875, 11.960876375]"
cpu-baseline,2048,3,32,6.176473583,331.5807916084792,11.801712250000001,84.73346738309095,6.16623,6.411381832999999,11.754890625,11.91822265625,"[6.411381832999999, 6.16623, 6.176473583]","[11.801712250000001, 11.754890625, 11.91822265625]"
metal-baseline,128,3,32,0.035453209,3610.39250353896,6.27661584375,159.32152371500632,0.03516125,0.036175833,6.267104156249999,6.29958728125,"[0.035453209, 0.036175833, 0.03516125]","[6.27661584375, 6.29958728125, 6.267104156249999]"
metal-baseline,512,3,32,0.102035292,5017.871659543053,6.2990506875,158.75408051318368,0.101285375,0.102036708,6.258984375,6.323855437500001,"[0.101285375, 0.102036708, 0.102035292]","[6.2990506875, 6.258984375, 6.323855437500001]"
metal-baseline,2048,3,32,0.415045167,4934.402717668557,6.39732034375,156.31544869829312,0.414870666,0.415484333,6.3779675,6.4791391874999995,"[0.414870666, 0.415484333, 0.415045167]","[6.4791391874999995, 6.39732034375, 6.3779675]"
cpu-8k,8192,3,32,28.541614329999998,287.0195044079695,14.4816510625,69.0528998167539,27.78170312,28.77125354,13.831841125,14.52592590625,"[27.78170312, 28.541614329999998, 28.77125354]","[14.52592590625, 14.4816510625, 13.831841125]"
metal-8k,8192,3,32,1.9489470830000002,4203.295241546586,7.0363438125,142.11926344808637,1.939778542,1.950088166,6.9398738125,7.35528,"[1.939778542, 1.950088166, 1.9489470830000002]","[6.9398738125, 7.35528, 7.0363438125]"
cpu-profile,128,2,32,0.3701159165,345.8375992322395,13.401526656249999,74.61836443340097,0.355696042,0.384535791,13.2648085,13.538244812499999,"[0.384535791, 0.355696042]","[13.538244812499999, 13.2648085]"
cpu-profile,512,2,32,1.381061687,370.7292764830714,13.5931758125,73.5663257647577,1.380052166,1.3820712080000002,13.593071625,13.59328,"[1.380052166, 1.3820712080000002]","[13.59328, 13.593071625]"
cpu-profile,2048,2,32,6.105993271,335.40816524099967,14.4993508125,68.96860507284867,6.028312792,6.18367375,14.3876639375,14.6110376875,"[6.028312792, 6.18367375]","[14.3876639375, 14.6110376875]"
cpu-8k-control,8192,1,32,68.45925788,119.66241314446455,54.04233728125,18.50401093490363,68.45925788,68.45925788,54.04233728125,54.04233728125,[68.45925788],[54.04233728125]
cpu-8k-profile,8192,1,32,38.54894042,212.5090835376066,61.672869875,16.21458514946399,38.54894042,38.54894042,61.672869875,61.672869875,[38.54894042],[61.672869875]
